x-axis,1,2,3
second,Volt,Volt,Volt
+15.90000E-03,+2.75000000E+00,+2.19374990E+00,+2.58750010E+00
+15.91000E-03,+2.84375000E+00,+2.28749990E+00,+2.74375010E+00
+15.92000E-03,+2.96875000E+00,+2.47499990E+00,+2.83750010E+00
+15.93000E-03,+3.03125000E+00,+2.59999990E+00,+2.99375010E+00
+15.94000E-03,+3.15625000E+00,+2.72499990E+00,+3.11875010E+00
+15.95000E-03,+3.21875000E+00,+2.91249990E+00,+3.24375010E+00
+15.96000E-03,+3.28125000E+00,+3.00624990E+00,+3.33750010E+00
+15.97000E-03,+3.37500000E+00,+3.09999990E+00,+3.43125010E+00
+15.98000E-03,+3.31250000E+00,+3.16249990E+00,+3.49375010E+00
+15.99000E-03,+3.31250000E+00,+3.25624990E+00,+3.55625010E+00
+16.00000E-03,+3.34375000E+00,+3.34999990E+00,+3.55625010E+00
+16.01000E-03,+3.28125000E+00,+3.41249990E+00,+3.61875010E+00
+16.02000E-03,+3.25000000E+00,+3.50624990E+00,+3.58750010E+00
+16.03000E-03,+3.18750000E+00,+3.50624990E+00,+3.55625010E+00
+16.04000E-03,+3.09375000E+00,+3.47499990E+00,+3.43125010E+00
+16.05000E-03,+2.96875000E+00,+3.44374990E+00,+3.46250010E+00
+16.06000E-03,+2.90625000E+00,+3.50624990E+00,+3.30625010E+00
+16.07000E-03,+2.81250000E+00,+3.41249990E+00,+3.21250010E+00
+16.08000E-03,+2.65625000E+00,+3.34999990E+00,+3.08750010E+00
+16.09000E-03,+2.56250000E+00,+3.25624990E+00,+2.93125010E+00
+16.10000E-03,+2.46875000E+00,+3.16249990E+00,+2.77500010E+00
+16.11000E-03,+2.31250000E+00,+3.00624990E+00,+2.61875010E+00
+16.12000E-03,+2.18750000E+00,+2.84999990E+00,+2.46250010E+00
+16.13000E-03,+2.03125000E+00,+2.75624990E+00,+2.27500010E+00
+16.14000E-03,+1.96875000E+00,+2.56874990E+00,+2.11875010E+00
+16.15000E-03,+1.84375000E+00,+2.44374990E+00,+1.99375010E+00
+16.16000E-03,+1.68750000E+00,+2.31874990E+00,+1.83750010E+00
+16.17000E-03,+1.65625000E+00,+2.09999990E+00,+1.71250010E+00
+16.18000E-03,+1.53125000E+00,+1.97499990E+00,+1.55625010E+00
+16.19000E-03,+1.56250000E+00,+1.88124990E+00,+1.46250010E+00
+16.20000E-03,+1.50000000E+00,+1.72499990E+00,+1.36875010E+00
+16.21000E-03,+1.46875000E+00,+1.63124990E+00,+1.30625010E+00
+16.22000E-03,+1.46875000E+00,+1.50624990E+00,+1.27500010E+00
+16.23000E-03,+1.50000000E+00,+1.44374990E+00,+1.24375010E+00
+16.24000E-03,+1.59375000E+00,+1.38124990E+00,+1.24375010E+00
+16.25000E-03,+1.65625000E+00,+1.34999990E+00,+1.30625010E+00
+16.26000E-03,+1.75000000E+00,+1.34999990E+00,+1.30625010E+00
+16.27000E-03,+1.84375000E+00,+1.34999990E+00,+1.40000010E+00
