x-axis,1,2,3
second,Volt,Volt,Volt
+4.19000E-03,+1.78125000E+00,+1.39374995E+00,+1.43125010E+00
+4.20000E-03,+1.90625000E+00,+1.42499995E+00,+1.52500010E+00
+4.21000E-03,+2.03125000E+00,+1.45624995E+00,+1.65000010E+00
+4.22000E-03,+2.12500000E+00,+1.48749995E+00,+1.80625010E+00
+4.23000E-03,+2.28125000E+00,+1.61249995E+00,+1.93125010E+00
+4.24000E-03,+2.43750000E+00,+1.70624995E+00,+2.08750010E+00
+4.25000E-03,+2.56250000E+00,+1.79999995E+00,+2.24375010E+00
+4.26000E-03,+2.71875000E+00,+1.98749995E+00,+2.36875010E+00
+4.27000E-03,+2.81250000E+00,+2.11249995E+00,+2.58750010E+00
+4.28000E-03,+2.90625000E+00,+2.26874995E+00,+2.74375010E+00
+4.29000E-03,+3.00000000E+00,+2.42499995E+00,+2.86875010E+00
+4.30000E-03,+3.15625000E+00,+2.58124995E+00,+3.05625010E+00
+4.31000E-03,+3.18750000E+00,+2.73749995E+00,+3.18125010E+00
+4.32000E-03,+3.25000000E+00,+2.86249995E+00,+3.30625010E+00
+4.33000E-03,+3.28125000E+00,+3.01874995E+00,+3.46250010E+00
+4.34000E-03,+3.37500000E+00,+3.14374995E+00,+3.52500010E+00
+4.35000E-03,+3.34375000E+00,+3.23749995E+00,+3.58750010E+00
+4.36000E-03,+3.31250000E+00,+3.36249995E+00,+3.61875010E+00
+4.37000E-03,+3.25000000E+00,+3.39374995E+00,+3.61875010E+00
+4.38000E-03,+3.25000000E+00,+3.48749995E+00,+3.65000010E+00
+4.39000E-03,+3.12500000E+00,+3.48749995E+00,+3.55625010E+00
+4.40000E-03,+3.03125000E+00,+3.51874995E+00,+3.55625010E+00
+4.41000E-03,+2.96875000E+00,+3.51874995E+00,+3.43125010E+00
+4.42000E-03,+2.81250000E+00,+3.45624995E+00,+3.36875010E+00
+4.43000E-03,+2.71875000E+00,+3.42499995E+00,+3.18125010E+00
+4.44000E-03,+2.56250000E+00,+3.33124995E+00,+3.08750010E+00
+4.45000E-03,+2.43750000E+00,+3.20624995E+00,+2.90000010E+00
+4.46000E-03,+2.25000000E+00,+3.14374995E+00,+2.71250010E+00
+4.47000E-03,+2.12500000E+00,+2.98749995E+00,+2.52500010E+00
+4.48000E-03,+2.00000000E+00,+2.83124995E+00,+2.33750010E+00
+4.49000E-03,+1.84375000E+00,+2.67499995E+00,+2.15000010E+00
+4.50000E-03,+1.75000000E+00,+2.48749995E+00,+1.93125010E+00
+4.51000E-03,+1.65625000E+00,+2.29999995E+00,+1.77500010E+00
+4.52000E-03,+1.59375000E+00,+2.14374995E+00,+1.65000010E+00
+4.53000E-03,+1.50000000E+00,+2.01874995E+00,+1.49375010E+00
+4.54000E-03,+1.50000000E+00,+1.86249995E+00,+1.40000010E+00
+4.55000E-03,+1.50000000E+00,+1.67499995E+00,+1.30625010E+00
+4.56000E-03,+1.46875000E+00,+1.58124995E+00,+1.24375010E+00
+4.57000E-03,+1.56250000E+00,+1.51874995E+00,+1.24375010E+00
+4.58000E-03,+1.62500000E+00,+1.42499995E+00,+1.21250010E+00
+4.59000E-03,+1.68750000E+00,+1.36249995E+00,+1.24375010E+00
+4.60000E-03,+1.81250000E+00,+1.33124995E+00,+1.30625010E+00
+4.61000E-03,+1.93750000E+00,+1.33124995E+00,+1.43125010E+00
+4.62000E-03,+2.06250000E+00,+1.39374995E+00,+1.49375010E+00
+4.63000E-03,+2.18750000E+00,+1.45624995E+00,+1.68125010E+00
+4.64000E-03,+2.34375000E+00,+1.54999995E+00,+1.83750010E+00
+4.65000E-03,+2.50000000E+00,+1.61249995E+00,+2.02500010E+00
+4.66000E-03,+2.68750000E+00,+1.73749995E+00,+2.21250010E+00
+4.67000E-03,+2.78125000E+00,+1.89374995E+00,+2.43125010E+00
+4.68000E-03,+2.93750000E+00,+2.08124995E+00,+2.65000010E+00
+4.69000E-03,+3.06250000E+00,+2.26874995E+00,+2.80625010E+00
+4.70000E-03,+3.12500000E+00,+2.42499995E+00,+2.99375010E+00
+4.71000E-03,+3.21875000E+00,+2.61249995E+00,+3.21250010E+00
+4.72000E-03,+3.31250000E+00,+2.83124995E+00,+3.33750010E+00
+4.73000E-03,+3.28125000E+00,+2.95624995E+00,+3.46250010E+00
+4.74000E-03,+3.31250000E+00,+3.14374995E+00,+3.58750010E+00
+4.75000E-03,+3.31250000E+00,+3.29999995E+00,+3.68125010E+00
+4.76000E-03,+3.28125000E+00,+3.36249995E+00,+3.74375010E+00
+4.77000E-03,+3.21875000E+00,+3.48749995E+00,+3.68125010E+00
+4.78000E-03,+3.09375000E+00,+3.51874995E+00,+3.68125010E+00
+4.79000E-03,+3.00000000E+00,+3.58124995E+00,+3.58750010E+00
