x-axis,1,2,3
second,Volt,Volt,Volt
+9.4100E-03,+1.4687500E+00,+1.9875000E+00,+1.4000001E+00
+9.4200E-03,+1.5000000E+00,+1.7375000E+00,+1.2437501E+00
+9.4300E-03,+1.5937500E+00,+1.5187500E+00,+1.1500001E+00
+9.4400E-03,+1.6875000E+00,+1.3937500E+00,+1.0875001E+00
+9.4500E-03,+1.8437500E+00,+1.3000000E+00,+1.2125001E+00
+9.4600E-03,+2.0312500E+00,+1.2687500E+00,+1.2750001E+00
+9.4700E-03,+2.2500000E+00,+1.3312500E+00,+1.3687501E+00
+9.4800E-03,+2.4687500E+00,+1.3937500E+00,+1.6812501E+00
+9.4900E-03,+2.6875000E+00,+1.5187500E+00,+1.9312501E+00
+9.5000E-03,+2.8437500E+00,+1.7375000E+00,+2.2125001E+00
+9.5100E-03,+3.0625000E+00,+1.9250000E+00,+2.4937501E+00
+9.5200E-03,+3.1875000E+00,+2.2062500E+00,+2.7750001E+00
+9.5300E-03,+3.3125000E+00,+2.4875000E+00,+3.0875001E+00
+9.5400E-03,+3.3125000E+00,+2.7687500E+00,+3.3375001E+00
+9.5500E-03,+3.2812500E+00,+2.9875000E+00,+3.5562501E+00
+9.5600E-03,+3.3125000E+00,+3.2375000E+00,+3.7125001E+00
+9.5700E-03,+3.1875000E+00,+3.3937500E+00,+3.7750001E+00
+9.5800E-03,+3.0312500E+00,+3.5500000E+00,+3.7750001E+00
+9.5900E-03,+2.8437500E+00,+3.5812500E+00,+3.6812501E+00
+9.6000E-03,+2.6562500E+00,+3.5812500E+00,+3.5875001E+00
+9.6100E-03,+2.3750000E+00,+3.5187500E+00,+3.3375001E+00
+9.6200E-03,+2.1875000E+00,+3.4250000E+00,+3.0562501E+00
+9.6300E-03,+1.9687500E+00,+3.2375000E+00,+2.7750001E+00
+9.6400E-03,+1.8125000E+00,+3.0187500E+00,+2.4625001E+00
+9.6500E-03,+1.6250000E+00,+2.7375000E+00,+2.1500001E+00
+9.6600E-03,+1.5312500E+00,+2.4875000E+00,+1.9000001E+00
+9.6700E-03,+1.4687500E+00,+2.2062500E+00,+1.5875001E+00
+9.6800E-03,+1.5000000E+00,+1.9562500E+00,+1.3375001E+00
+9.6900E-03,+1.5625000E+00,+1.7375000E+00,+1.2125001E+00
+9.7000E-03,+1.6875000E+00,+1.5187500E+00,+1.1500001E+00
+9.7100E-03,+1.8437500E+00,+1.3625000E+00,+1.1187501E+00
+9.7200E-03,+2.0312500E+00,+1.3000000E+00,+1.2125001E+00
+9.7300E-03,+2.2187500E+00,+1.3000000E+00,+1.3687501E+00
+9.7400E-03,+2.4687500E+00,+1.3625000E+00,+1.4937501E+00
+9.7500E-03,+2.7187500E+00,+1.4562500E+00,+1.8062501E+00
+9.7600E-03,+2.9062500E+00,+1.6437500E+00,+2.0875001E+00
+9.7700E-03,+3.0937500E+00,+1.8625000E+00,+2.4625001E+00
+9.7800E-03,+3.2500000E+00,+2.1750000E+00,+2.7750001E+00
+9.7900E-03,+3.2812500E+00,+2.4250000E+00,+3.0875001E+00
+9.8000E-03,+3.3125000E+00,+2.7062500E+00,+3.3687501E+00
+9.8100E-03,+3.2812500E+00,+2.9562500E+00,+3.5562501E+00
+9.8200E-03,+3.2187500E+00,+3.1750000E+00,+3.6812501E+00
+9.8300E-03,+3.0312500E+00,+3.3937500E+00,+3.7750001E+00
+9.8400E-03,+2.9062500E+00,+3.5187500E+00,+3.7437501E+00
+9.8500E-03,+2.6875000E+00,+3.5812500E+00,+3.6500001E+00
+9.8600E-03,+2.4062500E+00,+3.5500000E+00,+3.4625001E+00
+9.8700E-03,+2.2187500E+00,+3.4875000E+00,+3.2125001E+00
+9.8800E-03,+2.0000000E+00,+3.3312500E+00,+2.9000001E+00
+9.8900E-03,+1.8437500E+00,+3.1437500E+00,+2.5875001E+00
+9.9000E-03,+1.6875000E+00,+2.8937500E+00,+2.2750001E+00
+9.9100E-03,+1.5625000E+00,+2.5812500E+00,+1.9625001E+00
+9.9200E-03,+1.5312500E+00,+2.3000000E+00,+1.6812501E+00
+9.9300E-03,+1.5000000E+00,+2.0500000E+00,+1.4625001E+00
+9.9400E-03,+1.6562500E+00,+1.8000000E+00,+1.2750001E+00
+9.9500E-03,+1.7500000E+00,+1.5812500E+00,+1.1500001E+00
+9.9600E-03,+1.9062500E+00,+1.3937500E+00,+1.1812501E+00
+9.9700E-03,+2.0937500E+00,+1.3312500E+00,+1.1812501E+00
+9.9800E-03,+2.3750000E+00,+1.3000000E+00,+1.3687501E+00
+9.9900E-03,+2.5937500E+00,+1.3937500E+00,+1.5875001E+00
+10.0000E-03,+2.8125000E+00,+1.4875000E+00,+1.8687501E+00
+10.0100E-03,+3.0000000E+00,+1.7062500E+00,+2.2125001E+00
+10.0200E-03,+3.1562500E+00,+1.9562500E+00,+2.5250001E+00
